,title,date,desc,content,keywords
62,Omicron sub-variant BA.2 makes up 11.6% of COVID variants in U.S. - CDC - Reuters.com,2022-03-08T16:42:00Z,"The BA.2 sub-variant of Omicron was estimated to be 11.6% of the coronavirus variants circulating in the United States as of March 5, the U.S. Centers for Disease Control and Prevention (CDC) said on Tuesday.","March 8 (Reuters) - The BA.2 sub-variant of Omicron was estimated to be 11.6% of the coronavirus variants circulating in the United States as of March 5, the U.S. Centers for Disease Control and Prev… [+1350 chars]","['#March', '#Reuters', '#sub', '#-', '#variant']"
63,Omicron sub-variant BA.2 makes up 34.9% of COVID variants in U.S. - CDC - Reuters.com,2022-03-22T14:22:00Z,"The BA.2 sub-variant of Omicron makes up over a third of all coronavirus variants circulating in the United States, according to an estimate from the U.S. Centers for Disease Control and Prevention (CDC) on Tuesday.","March 22 (Reuters) - The BA.2 sub-variant of Omicron makes up over a third of all coronavirus variants circulating in the United States, according to an estimate from the U.S. Centers for Disease Con… [+1304 chars]","['#March', '#Reuters', '#sub', '#-', '#variant']"
64,Turkey eases coronavirus-related restrictions - minister - Reuters,2022-03-02T16:13:00Z,"Turkey eased the majority of coronavirus-related restrictions on Wednesday, Turkish Health Minister Fahrettin Koca said, almost two years after the first case was identified in the country.","ISTANBUL, March 2 (Reuters) - Turkey eased the majority of coronavirus-related restrictions on Wednesday, Turkish Health Minister Fahrettin Koca said, almost two years after the first case was identi… [+567 chars]","['#ISTANBUL', '#March', '#Reuters', '#Turkey', '#eased']"
65,Omicron sub-variant makes up 23.1% of COVID variants in U.S. - CDC - Reuters.com,2022-03-15T15:28:00Z,"The BA.2 sub-variant of Omicron was estimated to be 23.1% of the coronavirus variants circulating in the United States as of March 12, the U.S. Centers for Disease Control and Prevention (CDC) said on Tuesday.","March 15 (Reuters) - The BA.2 sub-variant of Omicron was estimated to be 23.1% of the coronavirus variants circulating in the United States as of March 12, the U.S. Centers for Disease Control and Pr… [+1538 chars]","['#March', '#Reuters', '#sub', '#-', '#variant']"
66,"Australia leaders to meet amid Omicron sub-variant concerns, flood damage - Reuters",2022-03-11T00:40:00Z,"Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while eastern states battle to clear tonnes of debris after devastating floods.","SYDNEY, March 11 (Reuters) - Australia's national cabinet will meet on Friday against a backdrop of concerns about the spread of the new sub-variant of the Omicron strain of the coronavirus, while ea… [+2112 chars]","['#SYDNEY', '#March', '#Reuters', '#Australia', '#cabinet']"
67,Hong Kong leader says no plans to tighten COVID social distancing measures - Reuters.com,2022-03-14T05:19:00Z,Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepening coronavirus outbreak which has submerged its health system and seen deaths soar.,"HONG KONG, March 14 (Reuters) - Hong Kong leader Carrie Lam said on Monday there were no current plans to further tighten strict social distancing measures as authorities battle to contain a deepenin… [+2251 chars]","['#HONG', '#KONG', '#March', '#Reuters', '#Hong']"
68,"Europe stocks fall as China COVID surge weighs on oil majors, miners - Reuters.com",2022-03-15T08:28:00Z,"European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meeting this week added to the gloom.","March 15 (Reuters) - European stock markets fell on Tuesday, with commodity-linked shares hit by concerns about surging coronavirus cases in China, while nerves ahead of a U.S. Federal Reserve meetin… [+1071 chars]","['#March', '#Reuters', '#stock', '#markets', '#fell']"
69,Global energy-related carbon emissions rose 6% in 2021 to new record high -IEA - Reuters.com,2022-03-08T14:48:00Z,"Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the International Energy Agency (IEA) said on Tuesday.","LONDON, March 8 (Reuters) - Global energy-related emissions of carbon dioxide rose to their highest ever level in 2021 as economies recovered from the coronavirus pandemic and coal use increased, the… [+1403 chars]","['#LONDON', '#March', '#Reuters', '#energy', '#related']"
70,Ukraine conflict adds to European supply chain snags - Reuters,2022-03-09T15:41:00Z,"European companies are suffering yet more strain on supply chains already snarled up by the coronavirus pandemic as the conflict in Ukraine leads to growing shortages of key components, they warned on Wednesday.","BERLIN, March 9 (Reuters) - European companies are suffering yet more strain on supply chains already snarled up by the coronavirus pandemic as the conflict in Ukraine leads to growing shortages of k… [+4384 chars]","['#BERLIN', '#March', '#Reuters', '#companies', '#suffering']"
71,Thailand drops pre-departure test requirement for visitors - Reuters.com,2022-03-18T10:24:00Z,Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance and an on-arrival test.,"BANGKOK, March 18 (Reuters) - Thailand said on Friday it will scrap a mandatory pre-departure coronavirus test for visitors starting next month but will still require entry registrations in advance a… [+1652 chars]","['#BANGKOK', '#March', '#Reuters', '#Thailand', '#said']"
72,"S.Korea's total COVID cases top 10 million as crematoria, funeral homes overwhelmed - Reuters.com",2022-03-23T04:54:00Z,"South Korea's total coronavirus infections topped 10 million, or nearly 20% of its population, authorities said on Wednesday, as surging severe cases and deaths increasingly put a strain on crematories and funeral homes nationwide.","SEOUL, March 23 (Reuters) - South Korea's total coronavirus infections topped 10 million, or nearly 20% of its population, authorities said on Wednesday, as surging severe cases and deaths increasing… [+2719 chars]","['#SEOUL', '#March', '#Reuters', '#South', '#Korea']"
73,ECB to tighten banks' access to loans after pandemic-era largesse - Reuters.com,2022-03-24T10:59:00Z,"The European Central Bank will tighten banks' access to its liquidity from July by phasing out exceptionally easy collateral rules introduced at the onset of the coronavirus pandemic, the ECB said on Thursday.","FRANKFURT, March 24 (Reuters) - The European Central Bank will tighten banks' access to its liquidity from July by phasing out exceptionally easy collateral rules introduced at the onset of the coron… [+2047 chars]","['#FRANKFURT', '#March', '#Reuters', '#European', '#Central']"
74,"How Russia's invasion of Ukraine, vampire obsession, and 'secret bio-weapons' have played into China's narrative about COVID-19's origin",2022-03-11T10:01:31Z,Russia's false claims about US bio-weapons laboratories in Ukraine have fed conspiracy theories in China concerning the coronavirus' point of origin.,"Cross a love for vampires with the invasion of Ukraine, and one ends up with secret US biological weapons that led to the spread of COVID-19, at least according to Chinese social media users and stat… [+3019 chars]","['#Cross', '#love', '#vampires', '#invasion', '#Ukraine']"
75,"Some House Democrats revolt over states losing COVID cash in huge government spending bill, forcing Pelosi to drop it to avoid a shutdown",2022-03-09T20:05:24Z,Democrats were forced to eject $15 billion in new coronavirus relief funding after a last-minute blow up on repurposing previous stimulus aid.,"Some Democrats launched a revolt Wednesday afternoon over planned cuts to state and local aid to fund additional coronavirus relief, delaying a planned House vote on a $1.5 trillion government fundin… [+2717 chars]","['#planned', '#Democrats', '#launched', '#revolt', '#Wednesday']"
76,"In Impasse Over New Covid Relief Aid, Neither Side Is Willing to Bend",2022-03-16T00:39:30Z,"The White House wants more money for treatments, tests, vaccines and research, but Republicans in Congress insist the administration will have to repurpose existing funds.","Mr. Bidens new coronavirus response strategy, outlined this month, included plans to secure more antiviral pills; to build up testing capacity; and to accelerate development of the next generation of… [+1379 chars]","['#Mr.', '#Bidens', '#coronavirus', '#response', '#strategy']"
77,Foxconn’s Shenzhen factories resume operations after lockdown,2022-03-21T15:27:49Z,"Foxconn, the world’s biggest contract manufacturer of electronics, says it’s “basically” resumed normal operations in Shenzhen after a partial lockdown forced its factories offline. Its Longhua and Guanlan factories are impacted.","After a week offline
Photo by Nora Tam/South China Morning Post via Getty Images
Foxconn, the worlds biggest contract manufacturer of electronics, says its basically resumed normal operations in Sh… [+1282 chars]","['#week', '#Photo', '#Nora', '#Tam', '#South']"
78,"Italy reports 60191 coronavirus cases on Tuesday, 184 deaths - Reuters.com",2022-03-08T16:56:00Z,"Italy reported 60,191 COVID-19 related cases on Tuesday, against 22,083 the day before, the health ministry said, while the number of deaths rose to 184 from 130.","MILAN, March 8 (Reuters) - Italy reported 60,191 COVID-19 related cases on Tuesday, against 22,083 the day before, the health ministry said, while the number of deaths rose to 184 from 130.
Italy ha… [+812 chars]","['#Italy', '#MILAN', '#March', '#Reuters', '#reported']"
79,"Italy reports 32573 coronavirus cases on Monday, 119 deaths - Reuters",2022-03-21T17:46:00Z,"Italy reported 32,573 COVID-19 related cases on Monday, against 60,415 the day before, the health ministry said, while the number of deaths rose to 119 from 93.","MILAN, March 21 (Reuters) - Italy reported 32,573 COVID-19 related cases on Monday, against 60,415 the day before, the health ministry said, while the number of deaths rose to 119 from 93.
Italy has… [+811 chars]","['#Italy', '#MILAN', '#March', '#Reuters', '#reported']"
80,"Public health measures are key to curbing Covid in UK, say scientists",2022-03-20T08:30:51Z,"On the second anniversary of the first lockdown, experts including Wellcome Trust director Jeremy Farrar, outline what needs to be done to cope with pandemics<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Stopping the s…","Stopping the spread of Covid-19 through public health measures remains vital to curbing the pandemic, one of Britains most senior scientific figures has warned.
On the eve of the second anniversary … [+7011 chars]","['#Stopping', '#spread', '#Covid-19', '#health', '#measures']"
81,Italian former PM faces renewed questions over Covid aid from Russia,2022-03-23T16:37:20Z,"Moscow dispatched military doctors, PPE and ventilators to Italy early in coronavirus pandemic<ul><li>Ukraine-Russia war – latest updates</li></ul>Italy’s former prime minister Giuseppe Conte is under pressure to clarify an arrangement under which Russia supp…","Italys former prime minister Giuseppe Conte is under pressure to clarify an arrangement under which Russia supplied aid to Italy early in the coronavirus pandemic, as questions resurface over the Kre… [+2589 chars]","['#prime', '#minister', '#Giuseppe', '#Conte', '#pressure']"
82,UK economy bounces back from Omicron as more people dine out,2022-03-11T07:42:05Z,"All sectors returned to growth in January to help lift GDP by 0.8%, says ONS<ul><li>Business live updates: UK economy rebounds strongly</li><li>See all our coronavirus coverage</li></ul>Britain’s economy bounced back from the Omicron variant of coronavirus at…","Britains economy bounced back from the Omicron variant of coronavirus at a faster pace than expected during January, as consumers returned to eating and drinking out in pubs and restaurants.
The Off… [+2382 chars]","['#Britains', '#economy', '#bounced', '#Omicron', '#variant']"
83,"NHS under pressure from new Covid wave across England, says Chris Whitty",2022-03-23T12:50:45Z,"Increasing numbers of people needing hospital treatment for coronavirus, says chief medical officerThe NHS is coming under “significant” pressure amid a rise in Covid cases in virtually every area of England, the chief medical officer has warned, with hospita…","The NHS is coming under significant pressure amid a rise in Covid cases in virtually every area of England, the chief medical officer has warned, with hospitalisations likely to continue increasing a… [+3762 chars]","['#NHS', '#coming', '#pressure', '#rise', '#Covid']"
84,Germany pledges more funds for COVID vaccines in poor countries - Reuters,2022-03-01T15:58:00Z,"Germany will provide a further $1.5 billion to a global initiative for better access to coronavirus vaccines for poorer countries, Finance Minister Christian Lindner said on Tuesday.","BERLIN, March 1 (Reuters) - Germany will provide a further $1.5 billion to a global initiative for better access to coronavirus vaccines for poorer countries, Finance Minister Christian Lindner said … [+501 chars]","['#BERLIN', '#March', '#Reuters', '#Germany', '#provide']"
85,China reports 249 new COVID cases for Feb 25 vs 224 a day earlier - Reuters,2022-02-26T01:44:00Z,"China reported 249 new confirmed coronavirus infections for Feb 25, the national health authority said on Saturday, up from 224 a day earlier.","BEIJING, Feb 26 (Reuters) - China reported 249 new confirmed coronavirus infections for Feb 25, the national health authority said on Saturday, up from 224 a day earlier.
Of the new cases, 93 were l… [+998 chars]","['#Feb', '#BEIJING', '#Reuters', '#China', '#reported']"
86,Austrian health minister Mueckstein resigns - Reuters,2022-03-03T15:31:00Z,"Austrian Health Minister Wolfgang Mueckstein resigned on Thursday, the second top official to step down within a year under the strain of tackling the coronavirus pandemic.","VIENNA, March 3 (Reuters) - Austrian Health Minister Wolfgang Mueckstein resigned on Thursday, the second top official to step down within a year under the strain of tackling the coronavirus pandemic… [+864 chars]","['#VIENNA', '#March', '#Reuters', '#Austrian', '#Health']"
87,"Japan set to extend coronavirus limits, ease border rules - Reuters",2022-03-03T02:11:00Z,"Japan is set to loosen border controls to allow more people to enter the country, especially students, while extending infection control measures to limit the spread of the coronavirus in several areas, including Tokyo.","TOKYO, March 3 (Reuters) - Japan is set to loosen border controls to allow more people to enter the country, especially students, while extending infection control measures to limit the spread of the… [+2266 chars]","['#TOKYO', '#March', '#Reuters', '#Japan', '#set']"
88,"Italy reports 40948 coronavirus cases on Friday, 193 deaths - Reuters",2022-02-25T16:14:00Z,"Italy reported 40,948 COVID-19 related cases on Friday, against 46,169 the day before, the health ministry said, while the number of deaths fell to 193 from 249.","MILAN, Feb 25 (Reuters) - Italy reported 40,948 COVID-19 related cases on Friday, against 46,169 the day before, the health ministry said, while the number of deaths fell to 193 from 249.
Italy has … [+812 chars]","['#Italy', '#MILAN', '#Feb', '#Reuters', '#reported']"
89,Hong Kong reports 25150 new daily coronavirus infections - Reuters.com,2022-03-07T09:30:00Z,"Hong Kong reported 25,150 new coronavirus infections and 280 deaths on Monday, as authorities struggle to contain a worsening COVID-19 outbreak which has torn through hundreds of nursing homes and hit many of the city's unvaccinated elderly.","HONG KONG, March 7 (Reuters) - Hong Kong reported 25,150 new coronavirus infections and 280 deaths on Monday, as authorities struggle to contain a worsening COVID-19 outbreak which has torn through h… [+1896 chars]","['#HONG', '#KONG', '#March', '#Reuters', '#Hong']"
90,N.F.L. Becomes First Major American Sports League to Drop Covid-19 Protocols,2022-03-03T20:11:11Z,"The league and the players’ union announced they would lift policies that had governed testing, masking and social distancing since March 2020.","The N.F.L. and the N.F.L. Players Association agreed to suspend all Covid-19 protocols, effective immediately, returning teams and players to pre-pandemic operations for the first time since March 20… [+1000 chars]","['#N.F.L.', '#Players', '#Association', '#agreed', '#suspend']"
91,Biden announces initiative to pair Covid-19 tests with treatment.,2022-03-02T03:50:19Z,"The “test to treat” initiative will enable Americans to get tested at pharmacies and, if they are positive for the virus, get antiviral treatments free on the spot, the president said.","Mr. Biden also vowed to prepare for new variants, saying that if necessary, his administration could deploy new vaccines within 100 days of a variants arrival. He called on Congress to provide new fu… [+1807 chars]","['#variants', '#Mr.', '#Biden', '#vowed', '#prepare']"
92,C.D.C. Is Expected to Ease Indoor Mask Guidelines,2022-02-25T10:07:05Z,"The new approach is likely to take into account local conditions, including hospitalizations. Mass migration from the crisis in Ukraine will leave little room for pandemic considerations.","People waited for trains leaving the main train station in Kramatorsk, in eastern Ukraine, shortly after Russia invaded the country on Thursday morning.Credit...Lynsey Addario for The New York Times… [+3312 chars]","['#People', '#waited', '#trains', '#leaving', '#train']"
93,"Fed hikes interest rates, battles inflation - Reuters",2022-03-16T22:12:21Z,The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concerns about high inflation and the war in Ukraine overtook the risks of …,"Posted 
The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concer… [+136 chars]","['#Posted', '#Federal', '#Reserve', '#Wednesday', '#raised']"
94,France's COVID-19 infections spike week-on-week following easing of restrictions - Reuters,2022-03-21T06:54:00Z,"France reported an average of close to 90,000 new coronavirus infections over the last seven days, marking a 36% rise from one week ago when most COVID-19 health protocol measures were lifted by the government just ahead of the country's elections.","PARIS, March 21 (Reuters) - France reported an average of close to 90,000 new coronavirus infections over the last seven days, marking a 36% rise from one week ago when most COVID-19 health protocol … [+1737 chars]","['#PARIS', '#March', '#Reuters', '#France', '#reported']"
95,Biden will deliver remarks on law to bolster protections for women facing violence - Reuters,2022-03-16T15:22:00Z,"U.S. President Joe Biden on Wednesday will deliver remarks on the Violence Against Women Act, which he renewed a day earlier while signing a massive spending bill into law, as an alarming spike in domestic violence coinciding with the coronavirus pandemic has…","WASHINGTON, March 16 (Reuters) - U.S. President Joe Biden on Wednesday will deliver remarks on the Violence Against Women Act, which he renewed a day earlier while signing a massive spending bill int… [+1738 chars]","['#WASHINGTON', '#March', '#Reuters', '#U.S.', '#President']"
96,Hong Kong leader plans to reopen city after controlling latest COVID outbreak - Reuters.com,2022-03-10T04:28:00Z,"Hong Kong leader Carrie Lam said on Thursday it was not the time to lift a ban on flights from nine countries including the United States and Britain, with plans to reopen the city only after the government controls a deepening coronavirus outbreak.","HONG KONG, March 10 (Reuters) - Hong Kong leader Carrie Lam said on Thursday it was not the time to lift a ban on flights from nine countries including the United States and Britain, with plans to re… [+2471 chars]","['#HONG', '#KONG', '#March', '#Reuters', '#Hong']"
97,"Fed hikes interest rates, battles inflation - Reuters",2022-03-16T22:44:37Z,The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concerns about high inflation and the war in Ukraine overtook the risks of …,"Posted 
The Federal Reserve on Wednesday raised interest rates by a quarter of a percentage point and laid out an aggressive plan to push borrowing costs to restrictive levels by next year as concer… [+93 chars]","['#Posted', '#Federal', '#Reserve', '#Wednesday', '#raised']"
98,China seen easing medium-term borrowing costs as COVID risks grow - Reuters.com,2022-03-14T05:53:00Z,"China's central bank is expected to roll over maturing medium-term policy loans and cut borrowing costs for the second time this year, a Reuters poll showed on Monday, as the a fresh wave of coronavirus infections weighs on the broader economy.","SHANGHAI, March 14 (Reuters) - China's central bank is expected to roll over maturing medium-term policy loans and cut borrowing costs for the second time this year, a Reuters poll showed on Monday, … [+2418 chars]","['#Reuters', '#SHANGHAI', '#March', '#China', '#bank']"
99,Former Takeda vaccine chief to lead new COVID antiviral venture Aerium - Reuters.com,2022-03-22T12:17:00Z,"Aerium Therapeutics, a venture-backed startup, on Tuesday announced industry veteran Rajeev Venkayya will lead the company and released data that showed its two experimental monoclonal antibodies neutralized coronavirus variants, including Omicron and its fas…","CHICAGO, March 22 (Reuters) - Aerium Therapeutics, a venture-backed startup, on Tuesday announced industry veteran Rajeev Venkayya will lead the company and released data that showed its two experime… [+2199 chars]","['#CHICAGO', '#March', '#Reuters', '#Aerium', '#Therapeutics']"
